EmployeeNumber,Surname,GivenName,FullName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,Agegroup,LengthService,lengthofservicecategory,AbsentHours,AbsentCategory,AbsentDays,BusinessUnit
1327,Ruiz,Mark,Ruiz Mark,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,39,Adult,5,Level 1,18,Absent Category 1,1,Stores
1328,Campbell,Patricia,Campbell Patricia,Female,Aldergrove,CHief Information Officer,Executive,Vancouver,Executive,35,Adult,12,Level 3,87,Absent Category 3,4,HeadOffice
1329,Harper,Ruby,Harper Ruby,Female,Lakelse Lake,Store Manager,Store Management,Terrace,Stores,29,Young Adult,5,Level 1,0,Not Absent,0,Stores
1330,Schneider,Tamara,Schneider Tamara,Female,Port Edward,Meats Manager,Meats,Terrace,Stores,61,Aged,5,Level 1,145,Absent Category 4,6,Stores
1331,Harrington,Melony,Harrington Melony,Female,Qualicum Beach,Store Manager,Store Management,Nanaimo,Stores,27,Young Adult,4,Level 1,2,Absent Category 1,0,Stores
1332,Hohman,Janet,Hohman Janet,Female,Vancouver,"Exec Assistant, Human Resources",Executive,Vancouver,Executive,38,Adult,3,Level 1,70,Absent Category 2,3,HeadOffice
1333,Wright,Glenn,Wright Glenn,Male,Surrey,Dairy Person,Dairy,Surrey,Stores,43,Middle Aged,7,Level 2,61,Absent Category 2,3,Stores
1334,Bulger,Christopher,Bulger Christopher,Male,Chilliwack,"Exec Assistant, Finance",Executive,Vancouver,Executive,35,Adult,4,Level 1,0,Not Absent,0,HeadOffice
1335,Linsley,Jeannette,Linsley Jeannette,Female,White Rock,"Director, Recruitment",Recruitment,Vancouver,HumanResources,34,Adult,5,Level 1,87,Absent Category 3,4,HeadOffice
1336,Snow,Kimberly,Snow Kimberly,Female,Burnaby,Dairy Person,Dairy,Burnaby,Stores,41,Middle Aged,3,Level 1,33,Absent Category 1,1,Stores
1337,Helfrich,Jerry,Helfrich Jerry,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,34,Adult,5,Level 1,36,Absent Category 1,2,Stores
1338,Marshall,Ruben,Marshall Ruben,Male,Port Coquitlam,"Director, Training",Training,Vancouver,HumanResources,49,Middle Aged,27,Level 6,29,Absent Category 1,1,HeadOffice
1339,Scott,Ashley,Scott Ashley,Female,Balfour,Store Manager,Store Management,Nelson,Stores,41,Middle Aged,7,Level 2,64,Absent Category 2,3,Stores
1340,Harris,Kenneth,Harris Kenneth,Male,Rutland,Store Manager,Store Management,Kelowna,Stores,46,Middle Aged,6,Level 2,68,Absent Category 2,3,Stores
1341,Gillenwater,James,Gillenwater James,Male,Vancouver,"Director, Labor Relations",Labor Relations,Vancouver,HumanResources,57,Elderly,39,Level 6,0,Not Absent,0,HeadOffice
1342,McPherson,Sharon,McPherson Sharon,Female,Vancouver,Cashier,Customer Service,Vancouver,Stores,49,Middle Aged,7,Level 2,107,Absent Category 3,4,Stores
1343,Tanner,Elba,Tanner Elba,Female,Victoria,Store Manager,Store Management,Victoria,Stores,36,Adult,3,Level 1,24,Absent Category 1,1,Stores
1344,Forsythe,Theresa,Forsythe Theresa,Female,Vancouver,"Director, HR Technology",HR Technology,Vancouver,HumanResources,58,Elderly,34,Level 6,0,Not Absent,0,HeadOffice
1345,Voris,Clifford,Voris Clifford,Male,Abbotsford,Meat Cutter,Meats,Abbotsford,Stores,47,Middle Aged,5,Level 1,70,Absent Category 2,3,Stores
1346,Lopez,Amy,Lopez Amy,Female,Vancouver,"Director, Employee Records",Employee Records,Vancouver,HumanResources,51,Elderly,22,Level 5,42,Absent Category 2,2,HeadOffice
1347,Tanner,Jose,Tanner Jose,Male,Victoria,Meats Manager,Meats,Victoria,Stores,25,Young Adult,6,Level 2,0,Not Absent,0,Stores
1348,Fernandez,Thomas,Fernandez Thomas,Male,Penticton,Dairy Person,Dairy,Kelowna,Stores,42,Middle Aged,8,Level 2,37,Absent Category 1,2,Stores
1349,Fitzgerald,Lisa,Fitzgerald Lisa,Female,Jaffray,Dairy Person,Dairy,Cranbrook,Stores,53,Elderly,6,Level 2,119,Absent Category 3,5,Stores
1350,Beery,Leah,Beery Leah,Female,Whistler,Dairy Person,Dairy,Squamish,Stores,46,Middle Aged,2,Level 1,110,Absent Category 3,5,Stores
1351,Reimer,Freddie,Reimer Freddie,Male,New Westminster,"Director, Compensation",Compensation,Vancouver,HumanResources,41,Middle Aged,17,Level 4,25,Absent Category 1,1,HeadOffice
1352,Williams,Ruth,Williams Ruth,Female,Vancouver,Corporate Lawyer,Legal,Vancouver,Legal,39,Adult,12,Level 3,69,Absent Category 2,3,HeadOffice
1353,Sallee,James,Sallee James,Male,Kamloops,Store Manager,Store Management,Kamloops,Stores,35,Adult,5,Level 1,0,Not Absent,0,Stores
1354,Silva,Martha,Silva Martha,Female,Burnaby,Dairy Person,Dairy,Burnaby,Stores,40,Middle Aged,6,Level 2,46,Absent Category 2,2,Stores
1355,Gravely,Melvin,Gravely Melvin,Male,New Westminster,Corporate Lawyer,Legal,Vancouver,Legal,43,Middle Aged,6,Level 2,49,Absent Category 2,2,HeadOffice
1356,Bates,Cynthia,Bates Cynthia,Female,Sorrento,Meat Cutter,Meats,Kamloops,Stores,53,Elderly,5,Level 1,147,Absent Category 4,6,Stores
1357,Cohen,Charles,Cohen Charles,Male,Vancouver,Corporate Lawyer,Legal,Vancouver,Legal,43,Middle Aged,16,Level 4,36,Absent Category 1,2,HeadOffice
1358,Moore,Andre,Moore Andre,Male,Victoria,Produce Manager,Produce,Victoria,Stores,40,Middle Aged,4,Level 1,40,Absent Category 2,2,Stores
1359,Johnson,Maria,Johnson Maria,Female,Tofino,Meats Manager,Meats,Nanaimo,Stores,59,Elderly,4,Level 1,159,Absent Category 5,7,Stores
1360,Arnold,Amber,Arnold Amber,Female,Vancouver,"Director, Accounts Receivable",Accounts Receiveable,Vancouver,FinanceAndAccounting,55,Elderly,14,Level 3,34,Absent Category 1,1,HeadOffice
1361,Meneses,Ashli,Meneses Ashli,Female,New Westminister,Cashier,Customer Service,New Westminister,Stores,48,Middle Aged,4,Level 1,129,Absent Category 4,5,Stores
1362,Martini,Amber,Martini Amber,Female,Kamloops,Meats Manager,Meats,Kamloops,Stores,41,Middle Aged,6,Level 2,50,Absent Category 2,2,Stores
1363,Owens,Tomas,Owens Tomas,Male,Victoria,Bakery Manager,Bakery,Victoria,Stores,33,Adult,6,Level 2,0,Not Absent,0,Stores
1364,McHenry,James,McHenry James,Male,Victoria,Dairy Person,Dairy,Victoria,Stores,49,Middle Aged,4,Level 1,53,Absent Category 2,2,Stores
1365,Chang,Mildred,Chang Mildred,Female,Fort St John,Store Manager,Store Management,Fort St John,Stores,45,Middle Aged,8,Level 2,88,Absent Category 3,4,Stores
1366,Dabrowski,James,Dabrowski James,Male,Aldergrove,Systems Analyst,Information Technology,Vancouver,InfoTech,58,Elderly,18,Level 4,55,Absent Category 2,2,HeadOffice
1367,Sanchez,Daniel,Sanchez Daniel,Male,Surrey,Store Manager,Store Management,Surrey,Stores,58,Elderly,4,Level 1,162,Absent Category 5,7,Stores
1368,Sierra,Jeff,Sierra Jeff,Male,Burnaby,Dairy Person,Dairy,Burnaby,Stores,45,Middle Aged,4,Level 1,51,Absent Category 2,2,Stores
1369,McCary,Marie,McCary Marie,Female,Pritchard,Dairy Person,Dairy,Kelowna,Stores,33,Adult,6,Level 2,0,Not Absent,0,Stores
1370,Cain,Josephine,Cain Josephine,Female,Langley,"Director, Accounts Payable",Accounts Payable,Vancouver,FinanceAndAccounting,36,Adult,4,Level 1,38,Absent Category 1,2,HeadOffice
1371,Zapata,Carmela,Zapata Carmela,Female,Langley,Cashier,Customer Service,Langley,Stores,37,Adult,5,Level 1,52,Absent Category 2,2,Stores
1372,Buswell,Richard,Buswell Richard,Male,Vancouver,"Director, Audit",Audit,Vancouver,FinanceAndAccounting,57,Elderly,39,Level 6,31,Absent Category 1,1,HeadOffice
1373,Hollingsworth,Maria,Hollingsworth Maria,Female,New Westminster,"Director, Accounting",Accounting,Vancouver,FinanceAndAccounting,50,Elderly,2,Level 1,51,Absent Category 2,2,HeadOffice
1374,Mudd,Jason,Mudd Jason,Male,Kelowna,Meats Manager,Meats,Kelowna,Stores,38,Adult,2,Level 1,17,Absent Category 1,1,Stores
1375,Roeder,Bridget,Roeder Bridget,Female,Fort Nelson,Meat Cutter,Meats,Fort Nelson,Stores,29,Young Adult,4,Level 1,7,Absent Category 1,0,Stores
1376,Lee,Ernest,Lee Ernest,Male,New Westminster,"Director, Investments",Investment,Vancouver,FinanceAndAccounting,39,Adult,1,Level 1,0,Not Absent,0,HeadOffice
1377,Burgos,Christine,Burgos Christine,Female,Cobble Hill,Dairy Person,Dairy,Victoria,Stores,23,Young Adult,5,Level 1,0,Not Absent,0,Stores
1378,Machuca,Tara,Machuca Tara,Female,Port Hardy,Dairy Person,Dairy,Nanaimo,Stores,39,Adult,5,Level 1,30,Absent Category 1,1,Stores
1379,Braun,Billy,Braun Billy,Male,New Westminster,Dairy Person,Dairy,New Westminster,Stores,18,Young Adult,6,Level 2,0,Not Absent,0,Stores
1380,Matthews,Patricia,Matthews Patricia,Female,Vancouver,Recruiter,Recruitment,Vancouver,HumanResources,46,Middle Aged,16,Level 4,71,Absent Category 2,3,HeadOffice
1381,Matthews,Rose,Matthews Rose,Female,Vancouver,Recruiter,Recruitment,Vancouver,HumanResources,37,Adult,18,Level 4,0,Not Absent,0,HeadOffice
1382,Larose,Vonda,Larose Vonda,Female,Vancouver,Recruiter,Recruitment,Vancouver,HumanResources,36,Adult,18,Level 4,0,Not Absent,0,HeadOffice
1383,Ramirez,Fredrick,Ramirez Fredrick,Male,Lumby,Store Manager,Store Management,Vernon,Stores,41,Middle Aged,6,Level 2,77,Absent Category 2,3,Stores
1384,Wicks,Polly,Wicks Polly,Female,Cranbrook,Dairy Person,Dairy,Cranbrook,Stores,70,Aged,4,Level 1,177,Absent Category 5,7,Stores
1385,Osterman,Ahmad,Osterman Ahmad,Male,Vancouver,Recruiter,Recruitment,Vancouver,HumanResources,52,Elderly,34,Level 6,55,Absent Category 2,2,HeadOffice
1386,Davies,Leo,Davies Leo,Male,Victoria,Processed Foods Manager,Processed Foods,Victoria,Stores,47,Middle Aged,5,Level 1,38,Absent Category 1,2,Stores
1387,Allen,Gwendolyn,Allen Gwendolyn,Female,Burnaby,Dairy Person,Dairy,Burnaby,Stores,57,Elderly,6,Level 2,104,Absent Category 3,4,Stores
1388,Davis,Jordan,Davis Jordan,Male,Powell River,Produce Manager,Produce,Nanaimo,Stores,47,Middle Aged,4,Level 1,60,Absent Category 2,3,Stores
1389,Harney,Clifford,Harney Clifford,Male,Duncan,Store Manager,Store Management,Quesnel,Stores,30,Adult,3,Level 1,11,Absent Category 1,0,Stores
1390,Williams,Adrienne,Williams Adrienne,Female,Richmond,Recruiter,Recruitment,Vancouver,HumanResources,53,Elderly,16,Level 4,94,Absent Category 3,4,HeadOffice
1391,Mejia,Albert,Mejia Albert,Male,Sardis,Store Manager,Store Management,Chilliwack,Stores,48,Middle Aged,4,Level 1,45,Absent Category 2,2,Stores
1392,Glasco,Gregory,Glasco Gregory,Male,New Westminister,Recruiter,Recruitment,Vancouver,HumanResources,57,Elderly,39,Level 6,52,Absent Category 2,2,HeadOffice
1393,Barragan,Beverly,Barragan Beverly,Female,Nimpo Lake,Store Manager,Store Management,Williams Lake,Stores,56,Elderly,2,Level 1,102,Absent Category 3,4,Stores
1394,Lucero,Lissette,Lucero Lissette,Female,Victoria,Customer Service Manager,Customer Service,Victoria,Stores,34,Adult,5,Level 1,32,Absent Category 1,1,Stores
1395,Guzman,Shirley,Guzman Shirley,Female,Vancouver,Recruiter,Recruitment,Vancouver,HumanResources,48,Middle Aged,30,Level 6,60,Absent Category 2,3,HeadOffice
1396,Barnett,James,Barnett James,Male,Westwold,Meats Manager,Meats,Vernon,Stores,49,Middle Aged,6,Level 2,7,Absent Category 1,0,Stores
1397,Hentges,Graciela,Hentges Graciela,Female,Duncan,Meats Manager,Meats,Quesnel,Stores,44,Middle Aged,5,Level 1,37,Absent Category 1,2,Stores
1398,Munsell,Joel,Munsell Joel,Male,New Westminister,Cashier,Customer Service,New Westminister,Stores,40,Middle Aged,3,Level 1,39,Absent Category 1,2,Stores
1399,Carter,Denise,Carter Denise,Female,Terrace,Produce Manager,Produce,Terrace,Stores,47,Middle Aged,4,Level 1,56,Absent Category 2,2,Stores
1400,Champion,Brandi,Champion Brandi,Female,West Vancouver,Recruiter,Recruitment,Vancouver,HumanResources,54,Elderly,27,Level 6,130,Absent Category 4,5,HeadOffice
1401,Turner,Maria,Turner Maria,Female,Black Pool,Store Manager,Store Management,Dawson Creek,Stores,40,Middle Aged,4,Level 1,54,Absent Category 2,2,Stores
1402,Scott,Marsha,Scott Marsha,Female,Vancouver,Trainer,Training,Vancouver,HumanResources,54,Elderly,7,Level 2,134,Absent Category 4,6,HeadOffice
1403,Roach,Mark,Roach Mark,Male,Osoyoos,Produce Manager,Produce,Kelowna,Stores,41,Middle Aged,4,Level 1,17,Absent Category 1,1,Stores
1404,Priddy,Margaret,Priddy Margaret,Female,New Westminster,Trainer,Training,Vancouver,HumanResources,44,Middle Aged,6,Level 2,108,Absent Category 3,5,HeadOffice
1405,Waters,James,Waters James,Male,Vancouver,Trainer,Training,Vancouver,HumanResources,65,Aged,7,Level 2,108,Absent Category 3,5,HeadOffice
1406,Moore,Daniel,Moore Daniel,Male,Vancouver,Trainer,Training,Vancouver,HumanResources,42,Middle Aged,14,Level 3,84,Absent Category 3,4,HeadOffice
1407,Cropper,Margaret,Cropper Margaret,Female,Victoria,Dairy Person,Dairy,Victoria,Stores,40,Middle Aged,4,Level 1,83,Absent Category 3,3,Stores
1408,Paxton,Elaine,Paxton Elaine,Female,Port Mcneill,Bakery Manager,Bakery,Nanaimo,Stores,60,Aged,6,Level 2,124,Absent Category 4,5,Stores
1409,Atchison,Kent,Atchison Kent,Male,Burnaby,Systems Analyst,Information Technology,Vancouver,InfoTech,51,Elderly,20,Level 4,0,Not Absent,0,HeadOffice
1410,Harrell,Charles,Harrell Charles,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,29,Young Adult,4,Level 1,0,Not Absent,0,Stores
1411,Derosa,Bertha,Derosa Bertha,Female,Dawson Creek,Meat Cutter,Meats,Dawson Creek,Stores,38,Adult,5,Level 1,50,Absent Category 2,2,Stores
1412,Henke,Johnson,Henke Johnson,Male,Langley,Systems Analyst,Information Technology,Vancouver,InfoTech,33,Adult,8,Level 2,29,Absent Category 1,1,HeadOffice
1413,Mosely,Clyde,Mosely Clyde,Male,North Vancouver,Systems Analyst,Information Technology,Vancouver,InfoTech,33,Adult,14,Level 3,66,Absent Category 2,3,HeadOffice
1414,Guitierrez,Larry,Guitierrez Larry,Male,New Westminster,Systems Analyst,Information Technology,Vancouver,InfoTech,45,Middle Aged,14,Level 3,0,Not Absent,0,HeadOffice
1415,Pollak,Ralph,Pollak Ralph,Male,Port Coquitlam,Dairy Person,Dairy,Port Coquitlam,Stores,30,Adult,5,Level 1,0,Not Absent,0,Stores
1416,Fisher,Amanda,Fisher Amanda,Female,Houston,Dairy Person,Dairy,Terrace,Stores,41,Middle Aged,5,Level 1,24,Absent Category 1,1,Stores
1417,Sikes,Sandra,Sikes Sandra,Female,Whistler,Store Manager,Store Management,Squamish,Stores,37,Adult,7,Level 2,48,Absent Category 2,2,Stores
1418,Sizemore,Roger,Sizemore Roger,Male,North Vancouver,Meat Cutter,Meats,North Vancouver,Stores,44,Middle Aged,5,Level 1,73,Absent Category 2,3,Stores
1419,Brown,Holly,Brown Holly,Female,New Westminster,Store Manager,Store Management,New Westminster,Stores,60,Aged,5,Level 1,190,Absent Category 5,8,Stores
1420,Martinez,Justine,Martinez Justine,Female,Vavenby,Meat Cutter,Meats,Kamloops,Stores,18,Young Adult,4,Level 1,0,Not Absent,0,Stores
1421,Thompson,Donald,Thompson Donald,Male,Victoria,Store Manager,Store Management,Victoria,Stores,40,Middle Aged,6,Level 2,60,Absent Category 2,3,Stores
1422,Stitt,John,Stitt John,Male,Vancouver,Dairy Person,Dairy,Vancouver,Stores,30,Adult,3,Level 1,8,Absent Category 1,0,Stores
1423,Sanders,Jose,Sanders Jose,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,22,Young Adult,5,Level 1,0,Not Absent,0,Stores
1424,Devore,Eric,Devore Eric,Male,Whistler,Dairy Person,Dairy,Squamish,Stores,34,Adult,5,Level 1,3,Absent Category 1,0,Stores
1425,Durham,Gerald,Durham Gerald,Male,Vancouver,Dairy Person,Dairy,Vancouver,Stores,45,Middle Aged,4,Level 1,58,Absent Category 2,2,Stores
1426,Maggi,Cindy,Maggi Cindy,Female,Victoria,Dairy Person,Dairy,Victoria,Stores,21,Young Adult,5,Level 1,0,Not Absent,0,Stores
1427,Lee,Diane,Lee Diane,Female,Surrey,Meats Manager,Meats,Surrey,Stores,35,Adult,5,Level 1,39,Absent Category 1,2,Stores
1428,Goodwyn,Donald,Goodwyn Donald,Male,Victoria,Meats Manager,Meats,Victoria,Stores,45,Middle Aged,6,Level 2,47,Absent Category 2,2,Stores
1429,Cason,Marion,Cason Marion,Female,New Westminster,Dairy Person,Dairy,New Westminster,Stores,37,Adult,3,Level 1,27,Absent Category 1,1,Stores
1430,Epps,William,Epps William,Male,Vancouver,Dairy Person,Dairy,Vancouver,Stores,50,Elderly,6,Level 2,85,Absent Category 3,4,Stores
1431,Wilker,Domenic,Wilker Domenic,Male,Victoria,Produce Manager,Produce,Victoria,Stores,44,Middle Aged,4,Level 1,62,Absent Category 2,3,Stores
1432,Authement,Anthony,Authement Anthony,Male,Chilliwack,Dairy Person,Dairy,Chilliwack,Stores,53,Elderly,5,Level 1,126,Absent Category 4,5,Stores
1433,Wiseman,Sharon,Wiseman Sharon,Female,Victoria,Bakery Manager,Bakery,Victoria,Stores,39,Adult,4,Level 1,2,Absent Category 1,0,Stores
1434,Begley,Paul,Begley Paul,Male,Gold Bridge,Produce Manager,Produce,Kamloops,Stores,50,Elderly,5,Level 1,72,Absent Category 2,3,Stores
1435,Anderson,Mark,Anderson Mark,Male,Port Coquitlam,Store Manager,Store Management,Port Coquitlam,Stores,45,Middle Aged,5,Level 1,28,Absent Category 1,1,Stores
1436,Harrison,Kristina,Harrison Kristina,Female,Cassiar,Bakery Manager,Bakery,Terrace,Stores,39,Adult,6,Level 2,33,Absent Category 1,1,Stores
1437,Cooper,Brenda,Cooper Brenda,Female,Burnaby,Dairy Person,Dairy,Burnaby,Stores,72,Aged,5,Level 1,233,Absent Category 6,10,Stores
1438,Filer,Thomas,Filer Thomas,Male,Cortes Island,Dairy Person,Dairy,Cortes Island,Stores,54,Elderly,5,Level 1,135,Absent Category 4,6,Stores
1439,Comer,George,Comer George,Male,Burnaby,Store Manager,Store Management,Burnaby,Stores,39,Adult,2,Level 1,13,Absent Category 1,1,Stores
1440,Dee,Kenneth,Dee Kenneth,Male,Victoria,Dairy Person,Dairy,Victoria,Stores,45,Middle Aged,4,Level 1,56,Absent Category 2,2,Stores
1441,Blazek,Sheila,Blazek Sheila,Female,New Westminster,Labor Relations Analyst,Labor Relations,Vancouver,HumanResources,55,Elderly,37,Level 6,0,Not Absent,0,HeadOffice
1442,Gold,Olga,Gold Olga,Female,Surrey,Produce Manager,Produce,Surrey,Stores,49,Middle Aged,3,Level 1,94,Absent Category 3,4,Stores
1443,Timmins,Leslie,Timmins Leslie,Female,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,HumanResources,41,Middle Aged,5,Level 1,79,Absent Category 2,3,HeadOffice
1444,Jones,Jane,Jones Jane,Female,Kelowna,Bakery Manager,Bakery,Kelowna,Stores,51,Elderly,4,Level 1,132,Absent Category 4,6,Stores
1445,Crossland,Scott,Crossland Scott,Male,Lumby,Produce Manager,Produce,Vernon,Stores,45,Middle Aged,6,Level 2,64,Absent Category 2,3,Stores
1446,Boyer,Deborah,Boyer Deborah,Female,Vernon,Bakery Manager,Bakery,Vernon,Stores,51,Elderly,5,Level 1,97,Absent Category 3,4,Stores
1447,Marcus,James,Marcus James,Male,White Rock,Labor Relations Analyst,Labor Relations,Vancouver,HumanResources,48,Middle Aged,7,Level 2,74,Absent Category 2,3,HeadOffice
1448,Dion,James,Dion James,Male,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,HumanResources,42,Middle Aged,14,Level 3,73,Absent Category 2,3,HeadOffice
1449,Vidal,Melinda,Vidal Melinda,Female,Squamish,Meats Manager,Meats,Squamish,Stores,38,Adult,5,Level 1,66,Absent Category 2,3,Stores
1450,Ebert,Stephanie,Ebert Stephanie,Female,Richmond,Dairy Person,Dairy,Richmond,Stores,36,Adult,4,Level 1,57,Absent Category 2,2,Stores
1451,Clark,Tammy,Clark Tammy,Female,Vancouver,Cashier,Customer Service,Vancouver,Stores,39,Adult,5,Level 1,55,Absent Category 2,2,Stores
1452,Ross,Pauline,Ross Pauline,Female,Vancouver,Cashier,Customer Service,Vancouver,Stores,55,Elderly,4,Level 1,134,Absent Category 4,6,Stores
1453,Yohe,Rodney,Yohe Rodney,Male,Oliver,Dairy Person,Dairy,Kelowna,Stores,38,Adult,3,Level 1,47,Absent Category 2,2,Stores
1454,Butts,Dorothy,Butts Dorothy,Female,Hemlock Valley,Dairy Person,Dairy,Chilliwack,Stores,48,Middle Aged,5,Level 1,106,Absent Category 3,4,Stores
1455,Lemus,Jody,Lemus Jody,Female,Kamloops,Meat Cutter,Meats,Kamloops,Stores,24,Young Adult,5,Level 1,0,Not Absent,0,Stores
1456,Littleton,Linda,Littleton Linda,Female,Campbell River,Dairy Manager,Dairy,Nanaimo,Stores,62,Aged,5,Level 1,192,Absent Category 5,8,Stores
1457,Darnell,Francis,Darnell Francis,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,44,Middle Aged,4,Level 1,91,Absent Category 3,4,Stores
1458,Dean,Leon,Dean Leon,Male,Burnaby,Labor Relations Analyst,Labor Relations,Vancouver,HumanResources,49,Middle Aged,12,Level 3,56,Absent Category 2,2,HeadOffice
1459,Larson,Virginia,Larson Virginia,Female,Campbell River,Dairy Person,Dairy,Nanaimo,Stores,40,Middle Aged,4,Level 1,71,Absent Category 2,3,Stores
1460,Payson,Robert,Payson Robert,Male,Kamloops,Dairy Person,Dairy,Kamloops,Stores,42,Middle Aged,6,Level 2,58,Absent Category 2,2,Stores
1461,Horne,Melanie,Horne Melanie,Female,Vancouver,Labor Relations Analyst,Labor Relations,Vancouver,HumanResources,54,Elderly,32,Level 6,107,Absent Category 3,4,HeadOffice
1462,Chittenden,Roger,Chittenden Roger,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,46,Middle Aged,6,Level 2,60,Absent Category 2,3,Stores
1463,Covington,Carol,Covington Carol,Female,Port Coquitlam,HRIS Analyst,HR Technology,Vancouver,HumanResources,48,Middle Aged,18,Level 4,75,Absent Category 2,3,HeadOffice
1464,Rouse,Timothy,Rouse Timothy,Male,Vancouver,Cashier,Customer Service,Vancouver,Stores,26,Young Adult,2,Level 1,0,Not Absent,0,Stores
1465,Averill,Eunice,Averill Eunice,Female,Okanagan Mission,Processed Foods Manager,Processed Foods,Kelowna,Stores,39,Adult,6,Level 2,55,Absent Category 2,2,Stores
1466,Ramos,Marvin,Ramos Marvin,Male,Douglas Lake,Bakery Manager,Bakery,Kamloops,Stores,65,Aged,6,Level 2,146,Absent Category 4,6,Stores
1467,Gladden,Coletta,Gladden Coletta,Female,Vancouver,Cashier,Customer Service,Vancouver,Stores,35,Adult,6,Level 2,1,Absent Category 1,0,Stores
1468,Pettis,Monica,Pettis Monica,Female,Vancouver,Cashier,Customer Service,Vancouver,Stores,44,Middle Aged,5,Level 1,84,Absent Category 3,4,Stores
1469,Fanning,Harold,Fanning Harold,Male,Vancouver,HRIS Analyst,HR Technology,Vancouver,HumanResources,42,Middle Aged,12,Level 3,0,Not Absent,0,HeadOffice
1470,Garcia,Deanna,Garcia Deanna,Female,Richmond,HRIS Analyst,HR Technology,Vancouver,HumanResources,56,Elderly,18,Level 4,73,Absent Category 2,3,HeadOffice
1471,Reynolds,Elizabeth,Reynolds Elizabeth,Female,Nanaimo,Dairy Person,Dairy,Nanaimo,Stores,49,Middle Aged,4,Level 1,85,Absent Category 3,4,Stores
1472,Alvarado,Richard,Alvarado Richard,Male,Surrey,Dairy Person,Dairy,Surrey,Stores,64,Aged,3,Level 1,133,Absent Category 4,6,Stores
1473,Hardin,Vicky,Hardin Vicky,Female,Surrey,Dairy Person,Dairy,Surrey,Stores,41,Middle Aged,6,Level 2,84,Absent Category 3,4,Stores
1474,Garcia,Alberta,Garcia Alberta,Female,Fort St John,Meats Manager,Meats,Fort St John,Stores,49,Middle Aged,2,Level 1,127,Absent Category 4,5,Stores
1475,Pineiro,Lola,Pineiro Lola,Female,Burnaby,HRIS Analyst,HR Technology,Vancouver,HumanResources,42,Middle Aged,18,Level 4,65,Absent Category 2,3,HeadOffice
1476,Hebert,Lyle,Hebert Lyle,Male,Bella Bella,Store Manager,Store Management,Bella Bella,Stores,31,Adult,4,Level 1,0,Not Absent,0,Stores
1477,Gibson,Dennis,Gibson Dennis,Male,New Westminster,Dairy Person,Dairy,New Westminster,Stores,49,Middle Aged,6,Level 2,66,Absent Category 2,3,Stores
1478,Baker,Kevin,Baker Kevin,Male,Fort St John,Dairy Person,Dairy,Fort St John,Stores,44,Middle Aged,7,Level 2,56,Absent Category 2,2,Stores
1479,Hatcher,Debbie,Hatcher Debbie,Female,Chilliwack,Dairy Person,Dairy,Chilliwack,Stores,54,Elderly,4,Level 1,141,Absent Category 4,6,Stores
1480,Weir,Lisa,Weir Lisa,Female,Vancouver,HRIS Analyst,HR Technology,Vancouver,HumanResources,62,Aged,18,Level 4,87,Absent Category 3,4,HeadOffice
1481,Short,Raquel,Short Raquel,Female,Field,Store Manager,Store Management,Cranbrook,Stores,63,Aged,4,Level 1,207,Absent Category 6,9,Stores
1482,Loving,David,Loving David,Male,Duncan,Produce Manager,Produce,Quesnel,Stores,61,Aged,2,Level 1,116,Absent Category 3,5,Stores
1483,Walters,Mary,Walters Mary,Female,Williams Lake,Meats Manager,Meats,Williams Lake,Stores,26,Young Adult,3,Level 1,5,Absent Category 1,0,Stores
1484,Vinson,Jack,Vinson Jack,Male,New Westminster,HRIS Analyst,HR Technology,Vancouver,HumanResources,48,Middle Aged,8,Level 2,33,Absent Category 1,1,HeadOffice
1485,Tandy,Genoveva,Tandy Genoveva,Female,Vancouver,HRIS Analyst,HR Technology,Vancouver,HumanResources,38,Adult,18,Level 4,75,Absent Category 2,3,HeadOffice
1486,Fox,James,Fox James,Male,Surrey,Benefits Admin,Employee Records,Vancouver,HumanResources,41,Middle Aged,10,Level 2,55,Absent Category 2,2,HeadOffice
1487,Peterson,Alexander,Peterson Alexander,Male,Vancouver,HRIS Analyst,HR Technology,Vancouver,HumanResources,33,Adult,15,Level 3,0,Not Absent,0,HeadOffice
1488,Orr,Harlan,Orr Harlan,Male,New Westminster,Benefits Admin,Employee Records,Vancouver,HumanResources,48,Middle Aged,15,Level 3,60,Absent Category 2,3,HeadOffice
1489,Bigham,Gale,Bigham Gale,Female,Victoria,Processed Foods Manager,Processed Foods,Victoria,Stores,47,Middle Aged,5,Level 1,63,Absent Category 2,3,Stores
1490,Chambers,Diana,Chambers Diana,Female,Armstrong,Dairy Person,Dairy,Vernon,Stores,47,Middle Aged,3,Level 1,106,Absent Category 3,4,Stores
1491,Ho,Marla,Ho Marla,Female,Castlegar,Store Manager,Store Management,Trail,Stores,23,Young Adult,3,Level 1,12,Absent Category 1,1,Stores
